Categoria,Nombre,Descripcion,URL,Gratis,API Key
Gobierno federal,SAM.gov API,Empresas registradas para contratos federales CAGE code certificaciones POC de contratos,open.gsa.gov/api/sam/,Si,Si
Gobierno federal,USASpending.gov API,Contratos grants y gastos federales por agencia empresa receptora y monto,api.usaspending.gov,Si,No
Gobierno federal,FPDS-NG API,Federal Procurement Data System historial completo de contratos desde 2004,fpds.gov/fpdsng_cms/index.php/en/worksite,Si,No
Gobierno federal,Grants.gov API,Convocatorias de grants federales activas montos elegibles y deadlines,grants.gov/web/grants/s2s,Si,No
Gobierno federal,Data.gov CKAN API,Portal central con miles de datasets federales buscador unificado,catalog.data.gov/api/3,Si,No
Gobierno federal,GSA Per Diem API,Tarifas de viaje federal por ciudad,open.gsa.gov/api/per-diem-api/,Si,No
Gobierno federal,GSA Auctions API,Subastas de propiedad federal excedente activos vehiculos equipo,gsa.gov/auctions,Si,Si
Gobierno federal,beta.SAM Entity API,Busqueda de entidades por NAICS estado certificacion tamano de empresa,open.gsa.gov/api/entity-api/,Si,Si
Gobierno federal,FOIA.gov API,Solicitudes FOIA presentadas agencias status para inteligencia competitiva,foia.gov/api,Si,No
Gobierno federal,Regulations.gov API,Comentarios y regulaciones federales empresas que participan en procesos regulatorios,open.gsa.gov/api/regulationsgov/,Si,Si
Estatal y local,OpenCorporates API,Registros de empresas de todos los estados EE.UU. agente registrado status fecha,api.opencorporates.com,Si,Si
Estatal y local,Florida Division of Corporations,Sunbiz.org todas las empresas registradas en Florida gratis y sin key,search.sunbiz.org/Inquiry/CorporationSearch/ByName,Si,No
Estatal y local,California Secretary of State API,Empresas registradas en CA agente registrado tipo de entidad,bizfileonline.sos.ca.gov/api,Si,No
Estatal y local,Texas SOS Direct API,Empresas registradas en Texas filings oficiales registrados,direct.sos.state.tx.us,Si,Si
Estatal y local,NY Open Data API,Licencias de negocios permisos contratos del estado de Nueva York,data.ny.gov/api/odata/v4,Si,No
Estatal y local,Illinois Data Portal,Licencias de negocios contratos estatales proveedores certificados IL,data.illinois.gov/api,Si,No
Estatal y local,Miami-Dade Open Data,Licencias de negocios locales permisos de construccion contratistas,gis-mdc.opendata.arcgis.com/api,Si,No
Estatal y local,City of Chicago Data Portal,Licencias de negocios activas en Chicago con direccion y tipo de negocio,data.cityofchicago.org/api,Si,No
Estatal y local,LA County Open Data,Permisos licencias contratistas aprobados del condado de Los Angeles,data.lacounty.gov/api,Si,No
Estatal y local,Georgia Secretary of State,Busqueda de entidades registradas en Georgia gratis sin key,ecorp.sos.ga.gov/BusinessSearch,Si,No
GIS y geoespacial,Census Bureau API,Demografia TIGER shapefiles NAICS por ZIP poblacion ingresos por zona,api.census.gov/data.html,Si,Si
GIS y geoespacial,Overpass API (OSM),Negocios edificios POIs de OpenStreetMap por radio bbox o nombre,overpass-api.de/api/interpreter,Si,No
GIS y geoespacial,ESRI ArcGIS Hub API,Datasets geoespaciales publicos de ciudades condados y agencias federales,hub.arcgis.com/api,Si,No
GIS y geoespacial,USGS National Map API,Topografia imagery satelital cuencas infraestructura por coordenadas,apps.nationalmap.gov/tnmaccess/api/v1,Si,No
GIS y geoespacial,HUD Location Affordability,Costos de vivienda y transporte por zona,hudgis-hud.opendata.arcgis.com,Si,No
GIS y geoespacial,NOAA Weather API,Datos climaticos historicos y forecast,api.weather.gov,Si,No
GIS y geoespacial,Google Maps Places API,Negocios locales con telefono web horario fotos y rating,developers.google.com/maps/documentation/places,Credito $200/mes,Si
GIS y geoespacial,Geocodio API,Geocodificacion de direcciones EE.UU. convierte listas de empresas a coords,api.geocod.io/v1.7,Si,Si
GIS y geoespacial,EPA Facility Registry (FRS),Instalaciones industriales reguladas por EPA con NAICS coords y contacto,frs.epa.gov/frs-public-rest-api,Si,No
Salud y regulacion,CMS NPI Registry,Todos los proveedores de salud Medicare/Medicaid nombre especialidad direccion telefono,npiregistry.cms.hhs.gov/api/,Si,No
